Código CETIP	0392412SN7
Código Mellon	FIDCRED7
Data de Emissão	8/8/2012
Vencimento	8/8/2015
Indexador	CDI +
Taxa	0.035
PU	1000
Dias (juros)	Úteis
Atraso AM (meses)	0
Atraso PMT (du)	0
AM Total	False


Data	Juros Incorp.	Amortização	Amortização Extr.
8/9/2012	1	0	0
8/15/2012	1	0	0
9/17/2012	1	0	0
10/15/2012	1	0	0
11/16/2012	1	0	0
12/17/2012	1	0	0
1/15/2013	1	0	0
2/15/2013	1	0	0
3/15/2013	1	0	0
4/15/2013	1	0	0
5/15/2013	1	0	0
6/17/2013	1	0	0
7/15/2013	1	0	0
8/15/2013	1	0	0
9/16/2013	1	0	0
10/15/2013	1	0	0
11/18/2013	1	0	0
12/16/2013	1	0	0
1/15/2014	1	0	0
2/17/2014	1	0	0
3/17/2014	1	5.55555555555556E-02	0
4/15/2014	1	5.88235294117647E-02	0
5/15/2014	1	0.0625	0
6/16/2014	1	6.66666666666667E-02	0
7/15/2014	1	7.14285714285714E-02	0
8/15/2014	1	7.69230769230769E-02	0
9/15/2014	1	8.33333333333333E-02	0
10/15/2014	1	9.09090909090909E-02	0
11/17/2014	1	0.1	0
12/15/2014	1	0.111111111111111	0
1/15/2015	1	0.125	0
2/18/2015	1	0.142857142857143	0
3/16/2015	1	0.166666666666667	0
4/15/2015	1	0.2	0
5/15/2015	1	0.25	0
6/15/2015	1	0.333333333333333	0
7/15/2015	1	0.5	0
8/17/2015	1	1	0

