Código CETIP	10K0018948
Código Mellon	610670
Data de Emissão	11/8/2010
Vencimento	10/15/2020
Indexador	IGPDI +
Taxa	0.1075
PU	304166.67
Dias (juros)	1/360
Atraso AM (meses)	2
Atraso PMT (du)	0
AM Total	False


Data	Juros Incorp.	Amortização	Amortização Extr.
11/8/2010	0	0	0
11/15/2010	1	0	0
12/15/2010	1	0	0
1/15/2011	1	0	0
2/15/2011	1	0	0
3/15/2011	1	0	0
4/15/2011	1	0	0
5/15/2011	1	0	0
6/15/2011	0	0.0052450083	0
7/15/2011	0	0.005605317	0
8/15/2011	0	0.0053989917	0
9/15/2011	0	0.0054762373	0
10/15/2011	0	0.0039164721	0
11/15/2011	0	0.005611584	0
12/15/2011	0	0.0059791779	0
1/15/2012	0	0.0057804535	0
2/15/2012	0	0.0058654063	0
3/15/2012	0	0.0065242147	0
4/15/2012	0	0.0060491989	0
5/15/2012	0	0.0064258508	0
6/15/2012	0	0.0062365841	0
7/15/2012	0	0.0066172349	0
8/15/2012	0	0.006432146001	0
9/15/2012	0	0.0065309574	0
10/15/2012	0	0.0048493235	0
11/15/2012	0	0.0067072973	0
12/15/2012	0	0.0070983119	0
1/15/2013	0	0.0069240576	0
2/15/2013	0	0.0070339082	0
3/15/2013	0	0.0080043182	0
4/15/2013	0	0.0072752127	0
5/15/2013	0	0.0076793385	0
6/15/2013	0	0.0075188057	0
7/15/2013	0	0.007928759	0
8/15/2013	0	0.0077743301	0
9/15/2013	0	0.0079044382	0
10/15/2013	0	0.0060670776	0
11/15/2013	0	8.14072456473335E-03	0
12/15/2013	0	0.0085661354	0
1/15/2014	0	0.008427889	0
2/15/2014	0	0.0085745826	0
3/15/2014	0	0.0095831464	0
4/15/2014	0	0.0088949928	0
5/15/2014	0	0.0093401717	0
6/15/2014	0	0.0092227081	0
7/15/2014	0	0.0096768534	0
8/15/2014	0	0.0095688175	0
9/15/2014	0	0.0097465846	0
10/15/2014	0	0.007705663	0
11/15/2014	0	0.0100751218	0
12/15/2014	0	0.0105536333	0
1/15/2015	0	0.0104712542	0
2/15/2015	0	0.0106755135	0
3/15/2015	0	0.0117440304	0
4/15/2015	0	0.0111203151	0
5/15/2015	0	0.0116307666	0
6/15/2015	0	0.0115820987	0
7/15/2015	0	0.0121073874	0
8/15/2015	0	0.0120744093	0
9/15/2015	0	0.0123299168	0
10/15/2015	0	0.0100138279	0
11/15/2015	0	0.0128108073	0
12/15/2015	0	0.0133777461	0
1/15/2016	0	0.0133889108	0
2/15/2016	0	0.0136904506	0
3/15/2016	0	0.0145751599	0
4/15/2016	0	0.0143407964	0
5/15/2016	0	0.0149640254	0
6/15/2016	0	0.0150350705	0
7/15/2016	0	0.0156854682	0
8/15/2016	0	0.0157855023	0
9/15/2016	0	0.0161803211	0
10/15/2016	0	0.0134765986	0
11/15/2016	0	0.0169389643	0
12/15/2016	0	0.0176690949	0
1/15/2017	0	0.0178545169	0
2/15/2017	0	0.0183396384	0
3/15/2017	0	0.0197052765	0
4/15/2017	0	0.0194036247	0
5/15/2017	0	0.0202484125	0
6/15/2017	0	0.0205573943	0
7/15/2017	0	0.0214603166	0
8/15/2017	0	0.021832274	0
9/15/2017	0	0.0225166683	0
10/15/2017	0	0.0192344296	0
11/15/2017	0	0.0238677208	0
12/15/2017	0	0.0249533413	0
1/15/2018	0	0.0255245411	0
2/15/2018	0	0.0264244237	0
3/15/2018	0	0.0282393436	0
4/15/2018	0	0.0284336515	0
5/15/2018	0	0.0298103252	0
6/15/2018	0	0.0307027543	0
7/15/2018	0	0.0322410917	0
8/15/2018	0	0.0333138015	0
9/15/2018	0	0.0347661951	0
10/15/2018	0	0.0305798931	0
11/15/2018	0	0.0377612953	0
12/15/2018	0	0.0398758208	0
1/15/2019	0	0.0416007445	0
2/15/2019	0	0.0437898164	0
3/15/2019	0	0.0470576295	0
4/15/2019	0	0.0489170997	0
5/15/2019	0	0.052173359	0
6/15/2019	0	0.0552295307	0
7/15/2019	0	0.0592604898	0
8/15/2019	0	0.0632457108	0
9/15/2019	0	0.0681120381	0
10/15/2019	0	0.062975811	0
11/15/2019	0	0.0792850342	0
12/15/2019	0	0.0871590265	0
1/15/2020	0	0.0960108657	0
2/15/2020	0	0.1071459263	0
3/15/2020	0	0.1216357217	0
4/15/2020	0	0.1390514288	0
5/15/2020	0	0.1632219713	0
6/15/2020	0	0.1964407711	0
7/15/2020	0	0.2469083224	0
8/15/2020	0	0.3303750755	0
9/15/2020	0	0.4977303842	0
10/15/2020	0	1	0

