Código CETIP	12K0008834
Código Mellon	875066
Data de Emissão	11/10/2012
Vencimento	11/10/2024
Indexador	IPCA +
Taxa	0.097966
PU	307290.05
Dias (juros)	30/360
Atraso AM (meses)	3
Atraso PMT (du)	0
AM Total	False


Data	Juros Incorp.	Amortização	Amortização Extr.
11/10/2012	0	0	0
12/10/2012	0	0.00235	0
1/10/2013	0	0.002374	0
2/10/2013	0	0.002399	0
3/10/2013	0	0.002423	0
4/10/2013	0	0.002448	0
5/10/2013	0	0.002473	0
6/10/2013	0	0.002499	0
7/10/2013	0	0.002525	0
8/10/2013	0	0.002551	0
9/10/2013	0	0.002577	0
10/10/2013	0	0.002604	0
11/10/2013	0	0.002631	0
12/10/2013	0	0.002659	0
1/10/2014	0	0.002687	0
2/10/2014	0	0.002715	0
3/10/2014	0	0.002744	0
4/10/2014	0	0.002773	0
5/10/2014	0	0.002802	0
6/10/2014	0	0.002832	0
7/10/2014	0	0.002863	0
8/10/2014	0	0.002893	0
9/10/2014	0	0.002924	0
10/10/2014	0	0.002956	0
11/10/2014	0	0.002988	0
12/10/2014	0	0.00302	0
1/10/2015	0	0.003053	0
2/10/2015	0	0.003086	0
3/10/2015	0	0.00312	0
4/10/2015	0	0.003154	0
5/10/2015	0	0.003189	0
6/10/2015	0	0.003224	0
7/10/2015	0	0.00326	0
8/10/2015	0	0.003296	0
9/10/2015	0	0.003333	0
10/10/2015	0	0.00337	0
11/10/2015	0	0.003408	0
12/10/2015	0	0.003447	0
1/10/2016	0	0.003486	0
2/10/2016	0	0.003525	0
3/10/2016	0	0.003565	0
4/10/2016	0	0.003606	0
5/10/2016	0	0.003647	0
6/10/2016	0	0.003689	0
7/10/2016	0	0.003732	0
8/10/2016	0	0.003775	0
9/10/2016	0	0.003819	0
10/10/2016	0	0.003864	0
11/10/2016	0	0.003909	0
12/10/2016	0	0.003955	0
1/10/2017	0	0.004002	0
2/10/2017	0	0.004049	0
3/10/2017	0	0.004098	0
4/10/2017	0	0.004147	0
5/10/2017	0	0.004197	0
6/10/2017	0	0.004247	0
7/10/2017	0	0.004299	0
8/10/2017	0	0.004351	0
9/10/2017	0	0.004404	0
10/10/2017	0	0.004458	0
11/10/2017	0	0.004513	0
12/10/2017	0	0.004569	0
1/10/2018	0	0.004626	0
2/10/2018	0	0.004684	0
3/10/2018	0	0.004743	0
4/10/2018	0	0.004803	0
5/10/2018	0	0.004864	0
6/10/2018	0	0.004926	0
7/10/2018	0	0.004989	0
8/10/2018	0	0.005053	0
9/10/2018	0	0.005118	0
10/10/2018	0	0.005185	0
11/10/2018	0	0.005253	0
12/10/2018	0	0.005322	0
1/10/2019	0	0.005392	0
2/10/2019	0	0.005464	0
3/10/2019	0	0.005537	0
4/10/2019	0	0.005611	0
5/10/2019	0	0.005687	0
6/10/2019	0	0.005764	0
7/10/2019	0	0.005843	0
8/10/2019	0	0.005923	0
9/10/2019	0	0.006005	0
10/10/2019	0	0.006088	0
11/10/2019	0	0.006174	0
12/10/2019	0	0.006261	0
1/10/2020	0	0.006349	0
2/10/2020	0	0.00644	0
3/10/2020	0	0.006532	0
4/10/2020	0	0.006627	0
5/10/2020	0	0.006723	0
6/10/2020	0	0.006821	0
7/10/2020	0	0.006922	0
8/10/2020	0	0.007025	0
9/10/2020	0	0.00713	0
10/10/2020	0	0.007237	0
11/10/2020	0	0.007347	0
12/10/2020	0	0.007459	0
1/10/2021	0	0.007574	0
2/10/2021	0	0.007691	0
3/10/2021	0	0.007812	0
4/10/2021	0	0.007935	0
5/10/2021	0	0.008061	0
6/10/2021	0	0.00819	0
7/10/2021	0	0.008322	0
8/10/2021	0	0.008458	0
9/10/2021	0	0.008596	0
10/10/2021	0	0.008739	0
11/10/2021	0	0.008885	0
12/10/2021	0	0.009034	0
1/10/2022	0	0.009188	0
2/10/2022	0	0.009346	0
3/10/2022	0	0.009508	0
4/10/2022	0	0.009674	0
5/10/2022	0	0.009845	0
6/10/2022	0	0.010021	0
7/10/2022	0	0.010201	0
8/10/2022	0	0.010387	0
9/10/2022	0	0.010578	0
10/10/2022	0	0.010775	0
11/10/2022	0	0.010977	0
12/10/2022	0	0.011186	0
1/10/2023	0	0.011401	0
2/10/2023	0	0.011623	0
3/10/2023	0	0.011851	0
4/10/2023	0	0.012087	0
5/10/2023	0	0.012331	0
6/10/2023	0	0.012582	0
7/10/2023	0	0.012842	0
8/10/2023	0	0.013111	0
9/10/2023	0	0.013389	0
10/10/2023	0	0.013677	0
11/10/2023	0	0.013975	0
12/10/2023	0	0.014284	0
1/10/2024	0	0.014604	0
2/10/2024	0	0.014937	0
3/10/2024	0	0.107686	0
4/10/2024	0	0.121625	0
5/10/2024	0	0.139549	0
6/10/2024	0	0.16345	0
7/10/2024	0	0.196913	0
8/10/2024	0	0.247113	0
9/10/2024	0	0.330788	0
10/10/2024	0	0.49816	0
11/10/2024	0	1	0

