Código CETIP	CPSC11
Código Mellon	805170
Emissão	3/1/2012
Vencimento	2/29/2016
Indexador	CDI +
Taxa	0.029
PU	500000
Dias (juros)	Úteis
Atraso AM (meses)	0
Atraso PMT (du)	0
AM Total	False


Data	Juros Incorp.	Amortização	Amortização Extr.
3/1/2012	0	0	0
3/30/2012	5301.02	0	0
4/30/2012	4465.8	0	0
5/30/2012	0	0.018827	0
6/29/2012	0	0.018994	0
7/31/2012	0	0.020545	0
8/31/2012	0	0.019666	0
9/28/2012	0	0.021125	0
10/31/2012	0	0.022215	0
11/30/2012	0	0.021986	0
12/31/2012	0	0.022984	0
1/31/2013	0	0.02325	0
2/28/2013	0	0.024718	0
3/28/2013	0	0.0244	0
4/30/2013	0	0.025102	0
5/31/2013	0	0.025778	0
6/28/2013	0	0.024442	0
7/31/2013	0	0.027509	0
8/30/2013	0	0.027453	0
9/30/2013	0	0.029352	0
10/31/2013	0	0.029898	0
11/29/2013	0	0.031074	0
12/31/2013	0	0.033845	0
1/31/2014	0	0.033826	0
2/28/2014	0	0.03566	0
3/31/2014	0	0.038136	0
4/30/2014	0	0.039401	0
5/30/2014	0	0.040991	0
6/30/2014	0	0.043754	0
7/31/2014	0	0.044992	0
8/29/2014	0	0.047205	0
9/30/2014	0	0.051427	0
10/31/2014	0	0.054166	0
11/28/2014	0	0.057628	0
12/31/2014	0	0.06288	0
1/30/2015	0	0.06664	0
2/27/2015	0	0.073694	0
3/31/2015	0	0.079891	0
4/30/2015	0	0.086928	0
5/29/2015	0	0.096031	0
6/30/2015	0	0.107869	0
7/31/2015	0	0.121203	0
8/31/2015	0	0.138362	0
9/30/2015	0	0.162515	0
10/30/2015	0	0.195944	0
11/30/2015	0	0.246872	0
12/31/2015	0	0.330688	0
1/29/2016	0	0.498136	0
2/29/2016	0	1	0

